mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__class_weight,param_rf__max_depth,param_rf__max_features,param_rf__n_estimators,param_rf__oob_score,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
28.477476716041565,1.4891937971115112,2.202856183052063,0.2544592618942261,,,,50,True,"{'rf__class_weight': None, 'rf__max_depth': None, 'rf__max_features': None, 'rf__n_estimators': 50, 'rf__oob_score': True}",0.2824490640190299,0.27860954255815157,0.2805293032885907,0.001919760730439174,17
26.568394660949707,1.7157223224639893,2.229645609855652,0.17960584163665771,,,,50,False,"{'rf__class_weight': None, 'rf__max_depth': None, 'rf__max_features': None, 'rf__n_estimators': 50, 'rf__oob_score': False}",0.2824490640190299,0.27860954255815157,0.2805293032885907,0.001919760730439174,17
54.78015184402466,0.5866780281066895,4.292142033576965,0.461980938911438,,,,100,True,"{'rf__class_weight': None, 'rf__max_depth': None, 'rf__max_features': None, 'rf__n_estimators': 100, 'rf__oob_score': True}",0.28531381404765616,0.2788736792796544,0.2820937466636553,0.0032200673840008798,15
54.12361431121826,2.0972230434417725,4.412790894508362,0.5441392660140991,,,,100,False,"{'rf__class_weight': None, 'rf__max_depth': None, 'rf__max_features': None, 'rf__n_estimators': 100, 'rf__oob_score': False}",0.28531381404765616,0.2788736792796544,0.2820937466636553,0.0032200673840008798,15
109.98532176017761,0.9249274730682373,8.63545024394989,1.0865923166275024,,,,200,True,"{'rf__class_weight': None, 'rf__max_depth': None, 'rf__max_features': None, 'rf__n_estimators': 200, 'rf__oob_score': True}",0.28917290108063176,0.2811341444311002,0.285153522755866,0.004019378324765788,13
108.1995838880539,0.7141302824020386,8.575172185897827,0.9298560619354248,,,,200,False,"{'rf__class_weight': None, 'rf__max_depth': None, 'rf__max_features': None, 'rf__n_estimators': 200, 'rf__oob_score': False}",0.28917290108063176,0.2811341444311002,0.285153522755866,0.004019378324765788,13
10.507869958877563,0.7468395233154297,2.576638102531433,0.2373415231704712,,,sqrt,50,True,"{'rf__class_weight': None, 'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__n_estimators': 50, 'rf__oob_score': True}",0.25145805293853746,0.24274316754371075,0.24710061024112412,0.004357442697413352,23
9.06878924369812,0.718719482421875,2.5544629096984863,0.19657588005065918,,,sqrt,50,False,"{'rf__class_weight': None, 'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__n_estimators': 50, 'rf__oob_score': False}",0.25145805293853746,0.24274316754371075,0.24710061024112412,0.004357442697413352,23
20.86721897125244,0.41698551177978516,5.4386574029922485,0.048240065574645996,,,sqrt,100,True,"{'rf__class_weight': None, 'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__n_estimators': 100, 'rf__oob_score': True}",0.2521538374908497,0.24606824504627264,0.24911104126856115,0.0030427962222885213,21
20.230643391609192,0.21954095363616943,5.656501054763794,0.1595594882965088,,,sqrt,100,False,"{'rf__class_weight': None, 'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__n_estimators': 100, 'rf__oob_score': False}",0.2521538374908497,0.24606824504627264,0.24911104126856115,0.0030427962222885213,21
47.85526430606842,0.6775673627853394,11.47711980342865,0.013399004936218262,,,sqrt,200,True,"{'rf__class_weight': None, 'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'rf__oob_score': True}",0.25323903818953325,0.24625377471369153,0.2497464064516124,0.0034926317379208593,19
40.15843093395233,0.488150954246521,10.918612718582153,0.16062498092651367,,,sqrt,200,False,"{'rf__class_weight': None, 'rf__max_depth': None, 'rf__max_features': 'sqrt', 'rf__n_estimators': 200, 'rf__oob_score': False}",0.25323903818953325,0.24625377471369153,0.2497464064516124,0.0034926317379208593,19
11.152818441390991,0.3524003028869629,0.4633411169052124,0.001728653907775879,,5,,50,True,"{'rf__class_weight': None, 'rf__max_depth': 5, 'rf__max_features': None, 'rf__n_estimators': 50, 'rf__oob_score': True}",0.22364913981100074,0.19372186093046523,0.20868550037073297,0.014963639440267754,37
11.024746894836426,0.19286298751831055,0.4000664949417114,0.05583298206329346,,5,,50,False,"{'rf__class_weight': None, 'rf__max_depth': 5, 'rf__max_features': None, 'rf__n_estimators': 50, 'rf__oob_score': False}",0.22364913981100074,0.19372186093046523,0.20868550037073297,0.014963639440267754,37
20.785863995552063,0.8474072217941284,0.8219460248947144,0.03356015682220459,,5,,100,True,"{'rf__class_weight': None, 'rf__max_depth': 5, 'rf__max_features': None, 'rf__n_estimators': 100, 'rf__oob_score': True}",0.22364913981100074,0.19372186093046523,0.20868550037073297,0.014963639440267754,37
18.836055397987366,1.6174215078353882,0.8262673616409302,0.0464705228805542,,5,,100,False,"{'rf__class_weight': None, 'rf__max_depth': 5, 'rf__max_features': None, 'rf__n_estimators': 100, 'rf__oob_score': False}",0.22364913981100074,0.19372186093046523,0.20868550037073297,0.014963639440267754,37
39.970799684524536,0.4857501983642578,1.6167569160461426,0.08245372772216797,,5,,200,True,"{'rf__class_weight': None, 'rf__max_depth': 5, 'rf__max_features': None, 'rf__n_estimators': 200, 'rf__oob_score': True}",0.22364913981100074,0.19372186093046523,0.20868550037073297,0.014963639440267754,37
37.8861278295517,0.866986870765686,1.6150410175323486,0.07882928848266602,,5,,200,False,"{'rf__class_weight': None, 'rf__max_depth': 5, 'rf__max_features': None, 'rf__n_estimators': 200, 'rf__oob_score': False}",0.22364913981100074,0.19372186093046523,0.20868550037073297,0.014963639440267754,37
